Date : 2024-03-29 06:27:53
Directory : c:\Users\Kiketdule\Kiki\Codage\Formation Rocket\velo-expresso-front
Total : 61 files,  7552 codes, 67 comments, 238 blanks, all 7857 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      5,331 |          0 |          2 |      5,333 |
| JavaScript JSX     |         29 |      1,285 |         45 |        139 |      1,469 |
| JavaScript         |         18 |        595 |         10 |         41 |        646 |
| CSS                |          2 |        160 |          3 |         26 |        189 |
| SCSS               |          6 |        155 |          4 |         20 |        179 |
| Prisma             |          1 |         16 |          5 |          6 |         27 |
| JSON with Comments |          2 |         10 |          0 |          3 |         13 |
| Markdown           |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         61 |      7,552 |         67 |        238 |      7,857 |
| . (Files)                                                                                                        |          8 |      5,383 |          2 |         10 |      5,395 |
| app                                                                                                              |         19 |        867 |         23 |        102 |        992 |
| app (Files)                                                                                                      |          4 |         63 |          0 |         10 |         73 |
| app\(pages)                                                                                                      |          6 |        466 |         15 |         41 |        522 |
| app\(pages)\bike                                                                                                 |          1 |        151 |          4 |         13 |        168 |
| app\(pages)\bike\[id]                                                                                            |          1 |        151 |          4 |         13 |        168 |
| app\(pages)\legal-notice                                                                                         |          1 |          3 |          0 |          1 |          4 |
| app\(pages)\meca                                                                                                 |          1 |         77 |          2 |          8 |         87 |
| app\(pages)\new-bikes                                                                                            |          1 |         79 |          3 |          6 |         88 |
| app\(pages)\rental                                                                                               |          1 |         70 |          3 |          7 |         80 |
| app\(pages)\used-bikes                                                                                           |          1 |         86 |          3 |          6 |         95 |
| app\api                                                                                                          |          1 |         23 |          1 |          5 |         29 |
| app\api\opinions                                                                                                 |          1 |         23 |          1 |          5 |         29 |
| app\style                                                                                                        |          8 |        315 |          7 |         46 |        368 |
| app\style (Files)                                                                                                |          3 |        165 |          3 |         26 |        194 |
| app\style\files                                                                                                  |          5 |        150 |          4 |         20 |        174 |
| components                                                                                                       |         18 |        748 |         30 |         84 |        862 |
| components (Files)                                                                                               |          1 |         24 |          1 |          2 |         27 |
| components\bikes                                                                                                 |          2 |         89 |          0 |          6 |         95 |
| components\container                                                                                             |          1 |          5 |          0 |          1 |          6 |
| components\footer                                                                                                |          1 |         40 |          0 |          2 |         42 |
| components\header                                                                                                |          4 |         84 |          8 |         18 |        110 |
| components\header (Files)                                                                                        |          1 |         15 |          2 |          3 |         20 |
| components\header\components                                                                                     |          3 |         69 |          6 |         15 |         90 |
